transaction_id,date,merchant,category,amount,currency,payment_mode,receiver_acc_no,sender_acc_no,type
QTL83C36GP77G6,2024-07-06,Company Payroll,job,1649.24,USD,netbanking,1351060011876,2958985950397,credit
0OEW2XKX24H6GA,2024-08-01,Company Payroll,job,2174.55,USD,netbanking,1351060011876,2987214877176,credit
CQH2K69FBL3LIR,2024-09-03,Company Payroll,job,2984.05,USD,netbanking,1351060011876,4547604861777,credit
46T7K514JBRPDT,2024-10-02,Company Payroll,job,1620.85,USD,netbanking,1351060011876,8387890966042,credit
UEKGRD7SHTOXZE,2024-11-04,Company Payroll,job,907.2,USD,netbanking,1351060011876,1001747017080,credit
OXNMHRZSVK4DDS,2024-12-03,Company Payroll,job,588.72,USD,netbanking,1351060011876,0557515257534,credit
2OP3K31PQOK200,2025-01-01,Company Payroll,job,688.96,USD,netbanking,1351060011876,1372738115252,credit
0YYINF47SSM81G,2025-02-04,Company Payroll,job,2343.02,USD,netbanking,1351060011876,0645311605967,credit
2L6R8495V3MD37,2025-03-03,Company Payroll,job,2264.18,USD,netbanking,1351060011876,7895890891132,credit
3H7UBKW2A25E6D,2025-04-07,Company Payroll,job,2346.7,USD,netbanking,1351060011876,5025192154405,credit
ZJBWB0B99F3EM6,2025-05-07,Company Payroll,job,1091.58,USD,netbanking,1351060011876,7393041203848,credit
OOA541K5NTM60S,2025-06-05,Company Payroll,job,2037.86,USD,netbanking,1351060011876,3494209963491,credit
KEBOBTGYFL3HVN,2024-08-23,eBay,online_shopping,14.42,USD,paypal,1351060011876,9040806899687,debit
95VG6NKF5J0GBR,2025-03-29,Verizon,utilities,14.24,USD,apple pay,1351060011876,0195870136215,debit
U9RAK8YDIQF8F4,2025-03-24,Whole Foods,groceries,4.68,USD,netbanking,1351060011876,7215380235334,debit
4RSFKW3GR3JLJR,2025-06-13,Gift,misc,98.94,USD,netbanking,1351060011876,8669665684317,credit
KA4O1ASRFR7E44,2024-11-28,Costco,groceries,85.67,USD,paypal,1351060011876,2945830615553,debit
Y3IYADUDX0B6ZW,2025-03-10,Uber,travel,69.15,USD,netbanking,1351060011876,1986738741304,debit
8Z2G2T7IQJ4525,2025-03-02,eBay,online_shopping,45.79,USD,netbanking,1351060011876,2868809217399,debit
8OISNEDFTP6ZKH,2024-07-25,Freelance Payment,job,198.52,USD,netbanking,1351060011876,8464069186433,credit
IHPUWB9OM9PFIW,2024-10-16,Costco,groceries,92.21,USD,apple pay,1351060011876,7162069739641,debit
EHXPDD414VKWAH,2024-11-26,Freelance Payment,job,475.12,USD,netbanking,1351060011876,3800467940879,credit
9SA7L8CL95GO4G,2024-10-14,Starbucks,others,26.39,USD,netbanking,1351060011876,6375845659450,debit
