transaction_id,date,merchant,category,amount,currency,payment_mode,receiver_acc_no,sender_acc_no,type
XGNKDM962H1R1F,2024-07-01,Company Payroll,job,552.83,USD,netbanking,2756287099599,4365178665155,credit
RU60ZF75BTY8CA,2024-08-06,Company Payroll,job,785.74,USD,netbanking,2756287099599,1364331467527,credit
1L1A6QUWZFSVES,2024-09-01,Company Payroll,job,743.14,USD,netbanking,2756287099599,7134167880634,credit
EX09D2CAS1EBP4,2024-10-03,Company Payroll,job,1591.21,USD,netbanking,2756287099599,3045333033012,credit
QXKMEJYRAQWBPQ,2024-11-02,Company Payroll,job,2912.41,USD,netbanking,2756287099599,7922483201842,credit
JZUIJT4I8OUMSI,2024-12-05,Company Payroll,job,1103.57,USD,netbanking,2756287099599,2497031589852,credit
N28GWL0RARRAGP,2025-01-02,Company Payroll,job,2998.65,USD,netbanking,2756287099599,8893373896073,credit
15X1YGRXQT3FCK,2025-02-06,Company Payroll,job,1181.48,USD,netbanking,2756287099599,2162571689382,credit
UB1ECIJOBXDGW8,2025-03-05,Company Payroll,job,1493.28,USD,netbanking,2756287099599,3650563237170,credit
MZV2KYIGE6WL3N,2025-04-03,Company Payroll,job,1221.78,USD,netbanking,2756287099599,6478273568442,credit
V3NFK3BFJRE38S,2025-05-03,Company Payroll,job,1099.41,USD,netbanking,2756287099599,4876016803636,credit
9WRJ2UMXB0G0YD,2025-06-01,Company Payroll,job,643.44,USD,netbanking,2756287099599,6779544722855,credit
WXWUFMB8BI9P04,2024-09-26,Part-time Work,job,297.47,USD,netbanking,2756287099599,8606676314867,credit
OCXJ2R76NN08SB,2024-10-01,Greyhound,travel,34.5,USD,netbanking,2756287099599,6544126542144,debit
UPOAEN5VQ03GWM,2025-06-13,Starbucks,others,38.58,USD,cash,2756287099599,6927427939877,debit
45H8JKHJY1IOF8,2024-08-30,Etsy,online_shopping,82.75,USD,apple pay,2756287099599,2062710264670,debit
16ZTRPBPN27JZW,2025-05-26,Uber,travel,96.75,USD,apple pay,2756287099599,1654985301640,debit
