transaction_id,date,merchant,category,amount,currency,payment_mode,receiver_acc_no,sender_acc_no,type
9PH7SYLUAEIJ6D,2024-07-03,Company Payroll,job,78765.91,INR,netbanking,3172831575298,3102094691764,credit
NES7UM2XD6X5TT,2024-08-04,Company Payroll,job,59969.01,INR,netbanking,3172831575298,4249668844873,credit
SD6LGI9AEQPS52,2024-09-02,Company Payroll,job,59728.44,INR,netbanking,3172831575298,1167283270178,credit
JULWVM7BKRN77M,2024-10-06,Company Payroll,job,62876.94,INR,netbanking,3172831575298,1951547752510,credit
G75CPGAW1W0AGF,2024-11-03,Company Payroll,job,81922.05,INR,netbanking,3172831575298,7752027232883,credit
F6FEX8XCBJ92VT,2024-12-03,Company Payroll,job,73027.23,INR,netbanking,3172831575298,5524449886262,credit
3GTIP2P42CFHKQ,2025-01-04,Company Payroll,job,59765.99,INR,netbanking,3172831575298,1291037654186,credit
DP2W6Y1ZTX1OBN,2025-02-02,Company Payroll,job,31242.92,INR,netbanking,3172831575298,4917069977855,credit
FECYU0HZ7YGUZX,2025-03-05,Company Payroll,job,29890.75,INR,netbanking,3172831575298,1777632124939,credit
VXQML4NSM9LHQA,2025-04-06,Company Payroll,job,70222.13,INR,netbanking,3172831575298,5522425118041,credit
PN2ACEJ2SKZQUX,2025-05-01,Company Payroll,job,35520.96,INR,netbanking,3172831575298,4746782659390,credit
0700LAOCBR1N5S,2025-06-05,Company Payroll,job,23081.68,INR,netbanking,3172831575298,0600181904235,credit
DHS1OX6COH2NQP,2025-06-05,Water Bill,utilities,4817.22,INR,UPI,3172831575298,4125224037822,debit
2IZ2N66WOW5BZ1,2024-12-22,Flipkart,online_shopping,2446.43,INR,UPI,3172831575298,4041799426568,debit
SEA54VC24DBC7K,2025-04-03,Uber,travel,664.9,INR,netbanking,3172831575298,4413261374106,debit
YMO15OZMELDM5V,2025-05-23,Barista,others,2033.73,INR,cash,3172831575298,2665199257385,debit
8XTV8DZGE4O78J,2024-09-03,D-Mart,groceries,3107.15,INR,netbanking,3172831575298,1535044667837,debit
1OWVV54WF1E0UE,2024-08-04,Myntra,online_shopping,4508.41,INR,card,3172831575298,1818567766989,debit
7OCDT5D1ASNA78,2024-09-22,Reliance Fresh,groceries,4080.29,INR,card,3172831575298,6965140986708,debit
7UBDBI6XGXR1GV,2024-11-24,Amazon India,online_shopping,60.0,INR,netbanking,3172831575298,3157894058946,debit
2S3Z8NS3RFHY2H,2024-09-10,Reliance Fresh,groceries,4078.24,INR,UPI,3172831575298,1564338015818,debit
YUN8QWQOQ8O1UI,2025-06-17,Spencers,groceries,4572.01,INR,cash,3172831575298,4990232502029,debit
6V0ZYEMAO0YICL,2024-10-13,Freelance Payment,job,29719.09,INR,netbanking,3172831575298,6193317375609,credit
MF489U0QQ3E34E,2025-03-08,Upstox,stocks,7308.17,INR,netbanking,3172831575298,8731390989870,credit
VUDKFV6ZXB96ZY,2025-02-09,D-Mart,groceries,104.75,INR,netbanking,3172831575298,3843128952960,debit
XRRPXR8HN493WJ,2024-08-26,Cashback,misc,2955.27,INR,cash,3172831575298,9399387163281,credit
VP9EDA5FDO0QU2,2024-07-09,Myntra,online_shopping,2177.73,INR,netbanking,3172831575298,9204460446923,debit
9AXYA6SMF2CWGZ,2024-08-13,MakeMyTrip,travel,3408.26,INR,netbanking,3172831575298,8588602015358,debit
LZ03EJE2D5IEBH,2025-01-11,Spencers,groceries,4831.01,INR,cash,3172831575298,6673514355305,debit
TFAGHFVRFHDH9V,2024-11-16,Gift,misc,1548.83,INR,UPI,3172831575298,6395545248591,credit
FCL7XZJYN3B6FE,2024-07-11,Reliance Fresh,groceries,1549.49,INR,cash,3172831575298,2945997136744,debit
PGKTEJTKO7DLG4,2024-12-05,Amazon India,online_shopping,475.3,INR,card,3172831575298,6234796874535,debit
TIWK5S838D917H,2025-03-19,Freelance Payment,job,14556.56,INR,netbanking,3172831575298,8785926756400,credit
KS2CSH2VY8E1FW,2024-09-16,Mobile Recharge,utilities,1508.77,INR,card,3172831575298,4731976324191,debit
M2ON9LIJ721PSK,2025-01-26,Internship Stipend,job,10157.02,INR,netbanking,3172831575298,6893553127650,credit
NI1ZRFYBQXQC80,2025-01-18,Spencers,groceries,4157.01,INR,cash,3172831575298,4901772025478,debit
5Y88F51S0FRGRO,2025-03-21,Electricity Bill,utilities,600.95,INR,card,3172831575298,9336128945765,debit
BXSHR3NALT8ROZ,2024-12-16,Refund,misc,328.75,INR,netbanking,3172831575298,9608872505261,credit
UOVEVNL326IWOL,2024-07-09,Spencers,groceries,1238.02,INR,card,3172831575298,1262371943915,debit
LKK1NZPPAAUDOK,2024-09-04,Spencers,groceries,3892.52,INR,cash,3172831575298,2230895718013,debit
H9R4KGOBEROOFW,2024-07-01,D-Mart,groceries,4709.68,INR,netbanking,3172831575298,0821242430579,debit
2WNQJ85QUQEPVL,2025-04-07,Amazon India,online_shopping,1050.12,INR,netbanking,3172831575298,5230959125872,debit
3R43XEZAVAYAXI,2025-02-18,IRCTC,travel,2282.5,INR,netbanking,3172831575298,7319414960371,debit
RRZ5MLA3V28PBR,2025-01-07,Spencers,groceries,2745.28,INR,UPI,3172831575298,0733432593396,debit
OVSYMZP1XHI7Z6,2024-08-09,Myntra,online_shopping,2349.42,INR,netbanking,3172831575298,9296104576232,debit
3FSLFAFII4TZGW,2025-05-12,Mobile Recharge,utilities,4263.91,INR,card,3172831575298,5659602467820,debit
